iter	Passed	Remaining
0	4	4430
1	11	5672
2	17	5673
3	25	6293
4	27	5558
5	34	5731
6	42	6002
7	47	5921
8	50	5552
9	53	5301
10	58	5276
11	60	4972
12	63	4839
13	71	5060
14	73	4824
15	80	4925
16	81	4718
17	86	4737
18	90	4658
19	92	4527
20	93	4370
21	96	4269
22	98	4193
23	100	4106
24	104	4080
25	106	3988
26	110	3982
27	113	3930
28	115	3878
29	117	3813
30	121	3783
31	125	3804
32	127	3746
33	130	3716
34	136	3753
35	137	3687
36	139	3627
37	141	3572
38	143	3536
39	146	3508
40	149	3487
41	150	3431
42	152	3388
43	157	3413
44	159	3388
45	160	3335
46	162	3285
47	164	3262
48	167	3241
49	171	3258
50	173	3221
51	175	3195
52	177	3177
53	180	3156
54	182	3142
55	185	3128
56	187	3094
57	190	3093
58	192	3068
59	194	3049
60	197	3038
61	200	3028
62	201	2999
63	203	2981
64	205	2959
65	208	2944
66	210	2935
67	212	2909
68	214	2895
69	216	2880
70	219	2870
71	223	2879
72	227	2887
73	229	2877
74	233	2874
75	236	2871
76	238	2859
77	241	2857
78	243	2841
79	246	2832
80	249	2834
81	252	2829
82	254	2815
83	256	2800
84	257	2776
85	260	2773
86	263	2769
87	265	2754
88	267	2736
89	270	2735
90	272	2724
91	274	2713
92	276	2700
93	279	2693
94	282	2689
95	284	2682
96	287	2676
97	289	2669
98	292	2658
99	294	2650
100	297	2643
101	299	2635
102	302	2637
103	304	2627
104	306	2616
105	309	2612
106	312	2607
107	313	2589
108	316	2583
109	318	2574
110	321	2571
111	324	2569
112	326	2564
113	329	2557
114	334	2574
115	338	2580
116	342	2582
117	345	2584
118	348	2582
119	352	2582
120	354	2575
121	357	2573
122	360	2570
123	363	2566
124	366	2564
125	369	2560
126	371	2554
127	374	2551
128	376	2544
129	379	2538
130	381	2531
131	384	2527
132	386	2522
133	388	2513
134	391	2505
135	394	2506
136	397	2500
137	400	2502
138	403	2499
139	406	2499
140	408	2488
141	411	2484
142	413	2480
143	415	2472
144	418	2465
145	420	2457
146	423	2455
147	425	2450
148	428	2447
149	431	2444
150	433	2436
151	435	2428
152	438	2425
153	439	2415
154	443	2415
155	445	2410
156	448	2408
157	450	2402
158	454	2401
159	456	2395
160	458	2391
161	461	2387
162	464	2385
163	466	2380
164	469	2374
165	470	2364
166	473	2362
167	475	2355
168	477	2349
169	479	2342
170	482	2338
171	483	2329
172	486	2323
173	489	2321
174	491	2318
175	493	2310
176	497	2312
177	500	2310
178	503	2307
179	506	2307
180	509	2304
181	511	2299
182	515	2300
183	518	2299
184	521	2296
185	526	2304
186	529	2300
187	531	2296
188	536	2303
189	540	2304
190	545	2312
191	549	2312
192	557	2333
193	561	2334
194	566	2339
195	572	2350
196	575	2347
197	581	2353
198	584	2351
199	587	2351
200	592	2353
201	597	2360
202	601	2361
203	606	2365
204	609	2362
205	610	2354
206	614	2354
207	618	2353
208	621	2352
209	624	2348
210	626	2343
211	627	2333
212	631	2332
213	633	2326
214	636	2322
215	641	2326
216	644	2323
217	647	2322
218	649	2316
219	655	2325
220	659	2325
221	662	2322
222	667	2327
223	670	2323
224	675	2326
225	679	2327
226	681	2320
227	685	2321
228	689	2322
229	692	2319
230	696	2319
231	701	2320
232	704	2319
233	707	2316
234	711	2314
235	716	2319
236	718	2313
237	720	2305
238	721	2297
239	725	2296
240	727	2290
241	730	2289
242	733	2284
243	736	2281
244	739	2279
245	741	2273
246	745	2271
247	749	2272
248	750	2264
249	754	2263
250	757	2260
251	760	2256
252	763	2254
253	766	2252
254	770	2252
255	777	2258
256	778	2251
257	780	2244
258	783	2242
259	787	2241
260	793	2246
261	795	2240
262	798	2237
263	803	2239
264	805	2232
265	808	2231
266	812	2229
267	814	2224
268	816	2219
269	819	2215
270	821	2210
271	825	2208
272	828	2207
273	832	2204
274	835	2202
275	837	2198
276	840	2193
277	841	2186
278	844	2181
279	847	2180
280	849	2174
281	851	2168
282	854	2163
283	857	2160
284	860	2158
285	863	2156
286	866	2153
287	868	2147
288	871	2144
289	873	2138
290	880	2144
291	883	2141
292	887	2140
293	891	2139
294	894	2136
295	898	2136
296	902	2136
297	907	2136
298	909	2131
299	912	2129
300	916	2128
301	918	2123
302	921	2119
303	924	2117
304	928	2115
305	930	2110
306	933	2106
307	936	2104
308	940	2103
309	942	2098
310	945	2094
311	949	2094
312	952	2090
313	955	2087
314	959	2086
315	960	2079
316	962	2074
317	964	2068
318	966	2063
319	969	2059
320	972	2056
321	976	2055
322	978	2051
323	982	2049
324	986	2047
325	989	2045
326	991	2040
327	993	2036
328	996	2032
329	999	2030
330	1004	2029
