id,answer
1,"JR東日本の駅や列車内で拾得されたお忘れ物・落し物は、システムに登録のうえ一定の期間保管をし、お引取りのないものは最寄の警察署等に提出しています。 お忘れ物・落し物にお気づきの際は、以下にお問い合わせください。 （１）ＪＲ東日本の駅 　お問い合わせの際は、 　　・お忘れ物・落し物をされた日時や場所 ... 詳細表示

No：1036 公開日時：2022/12/07 10:00 更新日時：2023/11/28 10:38 カテゴリー： 忘れ物をした時"
2,"「こども用Suica」は、Suicaエリア内にある、JR東日本の駅のみどりの窓口または話せる指定席券売機（オペレーター対応による発券）でご購入ください。なお、ご購入の際には、ご利用になるお子さまの本人確認ができるもの（保険証等）をご用意ください。ご家族の方が代理でご購入いただくこともできます（代理の方がご購入の場... 詳細表示

No：1148 公開日時：2024/03/11 10:00 カテゴリー： Suicaの購入"
3,"弊社では、駅の電話番号はご案内いたしておりません。各種お問い合わせにつきましては以下の「JR東日本お問い合わせセンター」にてご案内しております。 ■「JR東日本お問い合わせセンター」 ○列車時刻、運賃・料金、空席情報案内 電話番号050-2016-1600／時間 6：00～24：00／　（かならず「... 詳細表示

No：1033 公開日時：2023/10/18 17:20 カテゴリー： その他のお問い合わせ"
4,"ビューカード、Visa、Mastercard、JCB、American Express、Diners Club、Discover、JRカードの各ブランドがついたクレジットカードをご利用いただけます。ご利用いただける箇所は、JR東日本管内のみどりの窓口や指定席券売機（紫色の券売機）、多機能券売機（黒色の券売機）とな... 詳細表示

No：1183 公開日時：2022/11/30 10:00 更新日時：2023/07/14 16:57 カテゴリー： きっぷの購入・変更・払い戻し"
5,"・新幹線や特急列車が到着時刻から2時間以上遅れた場合は、特急料金の全額を払いもどしをさせていただいております。なおこの場合、グリーン料金・グランクラス料金の払いもどしはありません。 ・2時間以上の遅れに伴う払いもどしについては、遅れが発生した日の翌日から起算して1年以内に駅の窓口にご提出いただければ払いもどしい... 詳細表示

No：1161 公開日時：2018/07/05 09:43 更新日時：2024/03/04 16:32 カテゴリー： きっぷの購入・変更・払い戻し"
6,"首都圏の主な線区では、ホームページ遅延証明書にて、初電から終電まで過去45日分の遅延証明書の発行を行っております。 首都圏以外の路線については、一部路線を除き「どこトレ」サイトで遅延証明書を発行しております。 【関連リンク】 列車運行情報サービス 遅延証明書 どこトレ 詳細表示

No：1119 公開日時：2022/04/13 18:00 更新日時：2022/07/05 13:28 カテゴリー： 運行情報・遅延証明書"
7,"以下のいずれかの可能性が考えられますので、まずはパスケース等の状態をお確かめいただき、それでもお使いになれない場合は、Suicaエリア内にあるJR東日本の駅窓口またはJR東日本の新幹線停車駅窓口までお申し出ください。（Suica一部対応駅ではお取り扱いいたしません。） ■パスケースの中に、改札機との通信を妨... 詳細表示

No：1058 公開日時：2024/03/11 10:00 カテゴリー： Suicaの利用"
8,"定期券の運賃は「ネットde定期」サービスで調べることができます。 「ネットde定期」の「定期券申込メニュー」にある、「申込・運賃の照会」をご利用ください。 なお、「ネットde定期」では、小児通学定期の運賃検索はできません。 お手数ですが、駅係員にお尋ねいただくか、JR東日本お問い合わせセンター(050-2... 詳細表示

No：1125 公開日時：2023/03/27 10:00 更新日時：2024/03/04 16:25 カテゴリー： 定期券"
9,"「はやぶさ」は東京～新青森間において車内販売を行っています。(一部車内販売を行わない列車もございます) また、車内販売では弁当類、サンドウィッチ等の取扱いはありません。取扱い品目はJR東日本サービスクリエーションのホームページをご確認ください。 なお、「はやて」「やまびこ」「なすの」については... 詳細表示

No：2986 公開日時：2023/03/27 10:00 カテゴリー： 車内設備・サービス"
10,"お忘れ物・落し物をされた方が、保管している駅までお忘れ物を受け取りに行くのが困難な場合は、着払いの宅配便でお送りすることが可能な場合もございます。 着払いによる宅配便をご希望の際は、お忘れ物・落し物をされたご本人様の公的証明書等をお持ちのうえ、お近くのＪＲの駅にご相談ください。 ※お電話（お問い合わせセンター... 詳細表示

No：1015 公開日時：2024/03/29 10:30 カテゴリー： 忘れ物を受け取る時"
